                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.61456,                 0.4944,                 1.0541,                0.99613,                0.99462,                0.99498,                0.90596,                0.44383,                0.29419,                0.92858,             0.00024064,             0.00024064,             0.00024064
                     86,                 0.6105,                0.48328,                 1.0489,                0.99781,                0.99414,                  0.995,                0.90722,                0.43268,                0.29116,                0.92437,              0.0002265,              0.0002265,              0.0002265
                     87,                0.59749,                0.46475,                 1.0564,                0.99587,                0.99188,                0.99484,                0.90324,                0.44031,                0.29122,                0.92796,             0.00021235,             0.00021235,             0.00021235
                     88,                0.56137,                  0.467,                 1.0262,                0.99488,                0.99038,                0.99451,                0.90439,                0.42713,                0.28642,                0.92012,              0.0001982,              0.0001982,              0.0001982
                     89,                0.59221,                0.48347,                 1.0377,                0.99694,                0.99311,                0.99456,                0.90444,                0.43215,                 0.2845,                0.92108,             0.00018406,             0.00018406,             0.00018406
                     90,                0.55377,                0.45956,                 1.0096,                0.99727,                0.99387,                 0.9949,                 0.9119,                0.42716,                0.28234,                0.91629,             0.00016991,             0.00016991,             0.00016991
                     91,                0.49251,                0.41518,                0.97218,                0.99705,                  0.993,                0.99438,                0.90452,                0.43854,                0.29187,                0.91846,             0.00015576,             0.00015576,             0.00015576
                     92,                0.46371,                0.40456,                0.94577,                0.99609,                 0.9916,                0.99322,                0.90752,                0.42328,                 0.2928,                0.91202,             0.00014161,             0.00014161,             0.00014161
                     93,                0.46423,                0.38648,                  0.968,                0.99631,                0.99268,                0.99286,                0.91245,                 0.4154,                0.28335,                0.90766,             0.00012747,             0.00012747,             0.00012747
                     94,                0.46954,                0.38294,                0.96003,                0.99633,                0.99339,                0.99342,                0.91847,                0.40248,                0.27454,                0.90201,             0.00011332,             0.00011332,             0.00011332
                     95,                0.44741,                0.36149,                0.95937,                0.99759,                0.99305,                0.99379,                   0.92,                0.40078,                0.27449,                0.90006,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.44216,                 0.3558,                0.95871,                0.99815,                 0.9933,                0.99414,                0.91839,                0.39759,                 0.2749,                 0.8982,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.43517,                0.34797,                0.94353,                0.99757,                0.99387,                0.99428,                0.91985,                0.39283,                0.27339,                0.89552,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 0.4361,                0.35744,                0.93492,                0.99671,                0.99387,                 0.9942,                 0.9221,                0.38589,                0.26976,                0.89174,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.43675,                0.34659,                0.94265,                0.99774,                0.99387,                 0.9941,                0.92484,                0.37998,                0.26553,                0.88885,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.41901,                0.33646,                 0.9172,                0.99821,                0.99387,                0.99409,                 0.9271,                0.37656,                0.26302,                0.88674,             2.8437e-05,             2.8437e-05,             2.8437e-05
