                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.69382,                0.59242,                  1.079,                0.97056,                0.99101,                0.99422,                0.86081,                0.56129,                0.39009,                0.99081,             0.00053773,             0.00053773,             0.00053773
                     65,                0.69791,                0.57241,                 1.0846,                0.97988,                0.99347,                0.99441,                0.86201,                0.55641,                0.38924,                0.98613,             0.00052359,             0.00052359,             0.00052359
                     66,                0.67148,                 0.5684,                 1.0642,                0.98116,                0.98258,                0.99447,                 0.8645,                0.56016,                0.38863,                0.99201,             0.00050944,             0.00050944,             0.00050944
                     67,                0.69044,                0.58861,                 1.0863,                0.99246,                 0.9806,                0.99308,                0.86224,                0.53429,                 0.3713,                0.97779,             0.00049529,             0.00049529,             0.00049529
                     68,                0.66388,                0.55238,                 1.0666,                0.98701,                0.98728,                0.99373,                0.87107,                0.52343,                0.36451,                0.96829,             0.00048114,             0.00048114,             0.00048114
                     69,                0.69397,                0.55544,                 1.0878,                 0.9896,                0.97788,                0.99362,                0.86555,                0.52129,                0.37502,                0.96638,               0.000467,               0.000467,               0.000467
                     70,                0.69098,                0.57668,                 1.0922,                0.98128,                 0.9951,                0.99449,                0.86768,                0.53343,                0.36837,                0.97006,             0.00045285,             0.00045285,             0.00045285
                     71,                0.65286,                0.54293,                 1.0542,                0.98706,                0.99404,                0.99477,                0.88228,                0.50038,                0.35005,                0.95048,              0.0004387,              0.0004387,              0.0004387
                     72,                0.67384,                0.55277,                 1.0704,                0.99167,                0.99339,                0.99471,                0.88224,                0.50837,                0.34852,                0.95259,             0.00042456,             0.00042456,             0.00042456
                     73,                0.65991,                0.53692,                 1.0722,                0.99761,                0.99363,                0.99411,                 0.8815,                0.51655,                0.35054,                0.95792,             0.00041041,             0.00041041,             0.00041041
                     74,                0.64537,                0.51226,                  1.051,                0.99518,                0.98763,                0.99224,                 0.8787,                0.51934,                0.34871,                0.96013,             0.00039626,             0.00039626,             0.00039626
                     75,                0.65127,                0.53486,                 1.0745,                 0.9925,                0.98869,                0.99262,                0.88258,                0.51073,                 0.3399,                0.95486,             0.00038211,             0.00038211,             0.00038211
                     76,                0.65791,                0.51121,                 1.0567,                0.99342,                0.99542,                0.99473,                0.88538,                0.49849,                0.33478,                0.95198,             0.00036797,             0.00036797,             0.00036797
                     77,                0.64919,                0.52951,                 1.0642,                0.99309,                0.99732,                0.99479,                0.88616,                0.49722,                0.33139,                0.94918,             0.00035382,             0.00035382,             0.00035382
                     78,                  0.624,                0.51192,                 1.0593,                0.99409,                0.99516,                0.99487,                0.89218,                0.47886,                  0.328,                0.93748,             0.00033967,             0.00033967,             0.00033967
                     79,                0.63914,                0.51685,                  1.065,                 0.9916,                0.99679,                0.99491,                0.89443,                0.47326,                0.32278,                0.93715,             0.00032553,             0.00032553,             0.00032553
                     80,                0.62738,                0.50048,                 1.0514,                0.99416,                0.99094,                0.99382,                 0.8958,                0.46015,                0.31499,                0.93436,             0.00031138,             0.00031138,             0.00031138
                     81,                0.63547,                0.50482,                 1.0687,                0.99579,                0.99001,                0.99358,                0.89642,                0.46211,                0.31077,                0.93027,             0.00029723,             0.00029723,             0.00029723
                     82,                0.61955,                0.50494,                 1.0652,                0.99922,                0.99098,                0.99428,                0.89984,                 0.4552,                 0.3097,                0.92683,             0.00028308,             0.00028308,             0.00028308
                     83,                0.60776,                 0.4967,                 1.0451,                0.99696,                0.98857,                 0.9936,                0.90121,                0.44851,                0.31106,                0.92421,             0.00026894,             0.00026894,             0.00026894
                     84,                0.61775,                0.51213,                 1.0499,                0.99858,                 0.9928,                0.99432,                0.90683,                0.43365,                0.31198,                0.91708,             0.00025479,             0.00025479,             0.00025479
                     85,                 0.6053,                0.47967,                 1.0485,                0.99528,                0.99575,                0.99462,                0.90597,                 0.4416,                0.30872,                0.92032,             0.00024064,             0.00024064,             0.00024064
                     86,                0.58857,                0.48065,                 1.0417,                0.99352,                0.99712,                0.99494,                0.90816,                0.43971,                 0.3024,                0.92033,              0.0002265,              0.0002265,              0.0002265
                     87,                0.60107,                0.48598,                 1.0455,                0.99498,                0.99575,                0.99492,                0.90128,                0.44033,                0.29772,                0.91891,             0.00021235,             0.00021235,             0.00021235
                     88,                0.59634,                0.48268,                  1.055,                0.99649,                0.99555,                0.99442,                0.90844,                0.42174,                0.29327,                0.91165,              0.0001982,              0.0001982,              0.0001982
                     89,                  0.595,                0.48249,                 1.0432,                0.99919,                0.99046,                0.99322,                0.90584,                0.41766,                0.29355,                0.90922,             0.00018406,             0.00018406,             0.00018406
                     90,                0.59609,                0.49387,                 1.0576,                0.99824,                 0.9952,                0.99466,                0.90949,                0.42297,                0.29467,                0.90882,             0.00016991,             0.00016991,             0.00016991
                     91,                0.49038,                0.44177,                0.96072,                0.99868,                0.99564,                0.99203,                0.91172,                0.41498,                0.29287,                0.90508,             0.00015576,             0.00015576,             0.00015576
                     92,                0.45974,                 0.4125,                0.94634,                0.99933,                0.99544,                0.99182,                0.91379,                 0.4066,                0.31243,                0.89923,             0.00014161,             0.00014161,             0.00014161
                     93,                 0.4712,                0.41638,                0.96361,                0.99925,                0.99553,                0.99178,                0.91658,                0.40146,                0.30289,                0.89394,             0.00012747,             0.00012747,             0.00012747
                     94,                0.45271,                0.39575,                 0.9511,                 0.9992,                0.99559,                0.99176,                0.91661,                0.39936,                0.28724,                0.89202,             0.00011332,             0.00011332,             0.00011332
                     95,                0.45739,                0.38435,                0.96451,                 0.9992,                0.99575,                0.99175,                0.91521,                0.39771,                0.28215,                0.89164,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.45026,                0.37769,                0.95805,                0.99928,                0.99575,                0.99176,                0.91852,                0.39038,                0.27898,                0.88881,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.43489,                0.37126,                0.93597,                0.99951,                0.99575,                0.99243,                0.92175,                0.38761,                0.27765,                0.88669,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.43563,                0.38205,                0.94233,                 0.9995,                0.99575,                0.99234,                 0.9239,                 0.3843,                0.27458,                0.88435,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.43864,                 0.3699,                0.91788,                0.99948,                0.99565,                0.99217,                0.92396,                0.38352,                0.27398,                0.88433,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.43728,                0.37422,                0.93463,                0.99942,                0.99556,                0.99231,                0.92739,                0.38038,                0.27331,                0.88258,             2.8437e-05,             2.8437e-05,             2.8437e-05
